model,wielkosc,zapach,wosk,dostepnosc,cena,kod,iloscsprzedanych,dataostatniejsprzedazy
Takfönster,M,Sosna,Sojowy,false,25.00 zł,533310988653,905,2022-09-21
Veke,M,Trawa cytrynowa,Rzepakowy,true,40.00 zł,577706656357,859,2023-08-09
Takfönster,L,Hiacynt,Parafinowy,true,35.00 zł,360609887387,140,2023-05-05
Ljus,M,Hiacynt,Sojowy,false,20.00 zł,357479887903,622,2023-02-03
Stjärna,S,Świerk,Rzepakowy,false,40.00 zł,757843870919,906,2023-09-14
Glans,S,Trawa cytrynowa,Rzepakowy,true,25.00 zł,260258009745,840,2022-11-13
Gryning,L,Lawenda,Sojowy,true,30.00 zł,973208546634,9,2022-12-28
Gryning,S,Grejpfrut,Sojowy,false,10.00 zł,120984249482,914,2023-10-29
Glans,S,Świerk,Pszczeli,true,25.00 zł,658210495895,689,2023-07-03
Gryning,M,Świerk,Parafinowy,true,20.00 zł,650586446701,610,2023-06-05
Glans,M,Jabłko-cynamon,Rzepakowy,true,35.00 zł,659334787627,420,2023-05-01
Ljus,M,Pomarańcza-goździki,Sojowy,false,20.00 zł,320150044773,377,2023-03-29
Ljus,L,Sosna,Sojowy,false,30.00 zł,716986779430,942,2022-10-16
Gryning,L,Hiacynt,Sojowy,true,30.00 zł,223062025087,152,2023-09-25
Stjärna,S,Kokos,Sojowy,true,40.00 zł,589427679342,463,2023-08-27
Lägereld,M,Świerk,Rzepakowy,true,40.00 zł,630214285611,224,2023-01-17
Stjärna,M,Grejpfrut,Sojowy,true,50.00 zł,888842083602,575,2023-08-04
Takfönster,M,Jabłko-cynamon,Parafinowy,true,25.00 zł,728733408689,714,2023-03-21
Glans,S,Świerk,Sojowy,false,25.00 zł,950193994201,749,2022-07-30
Lägereld,L,Sosna,Rzepakowy,false,50.00 zł,426691409139,653,2023-08-19
Stjärna,S,Wanilia,Pszczeli,true,40.00 zł,283062996449,132,2023-06-19
Lykta,L,Pomarańcza-goździki,Rzepakowy,false,40.00 zł,814425315744,850,2023-03-14
Veke,M,Wanilia,Pszczeli,false,40.00 zł,760066938030,303,2023-04-26
Lykta,S,Mięta,Sojowy,true,20.00 zł,559331616992,324,2023-07-07
Lykta,L,Sosna,Rzepakowy,false,40.00 zł,199370806909,506,2023-08-01
Stjärna,S,Świerk,Sojowy,false,40.00 zł,440720217816,199,2023-07-12
Glans,M,Jabłko-cynamon,Parafinowy,false,35.00 zł,596171409266,707,2023-05-14
Takfönster,S,Hiacynt,Sojowy,false,15.00 zł,438821431928,295,2023-08-18
Veke,S,Grejpfrut,Rzepakowy,true,30.00 zł,912314904984,930,2022-08-29
Veke,M,Świerk,Pszczeli,false,40.00 zł,460735026458,462,2022-12-13
Veke,L,Jaśmin,Parafinowy,false,50.00 zł,306069763698,853,2022-08-10
