model,wielkosc,zapach,dostepnosc,cena,kod,iloscsprzedanych,dataostatniejsprzedazy
Gryning,L,Sosna,true,30.00 zł,898144922693,131,2022-08-06
Gryning,L,Grejpfrut,true,30.00 zł,294639284175,331,2023-10-25
Lykta,L,Sosna,false,40.00 zł,381920388539,406,2022-09-26
Stjärna,M,Lawenda,true,50.00 zł,885109721308,583,2023-05-18
Gryning,M,Pomarańcza-goździki,true,20.00 zł,228948825538,26,2022-10-31
Takfönster,S,Wanilia,false,15.00 zł,672930353099,747,2022-08-21
Takfönster,L,Grejpfrut,true,35.00 zł,755448003229,753,2023-09-24
Glans,M,Mięta,true,35.00 zł,473656751969,178,2022-10-08
Ljus,L,Kokos,true,30.00 zł,013787213854,887,2023-06-14
Takfönster,L,Pomarańcza-goździki,true,35.00 zł,691064720944,870,2023-05-26
Lägereld,S,Wanilia,true,30.00 zł,762595254985,737,2023-10-15
Lägereld,S,Sosna,false,30.00 zł,778148613548,856,2022-12-31
Stjärna,S,Jaśmin,false,40.00 zł,631290249651,958,2022-09-24
Gryning,M,Grejpfrut,true,20.00 zł,969091344874,290,2023-05-08
Lykta,M,Wanilia,true,30.00 zł,537912104337,483,2022-08-28
Lykta,L,Wanilia,false,40.00 zł,195127120919,480,2023-04-24
Takfönster,M,Pomarańcza-goździki,false,25.00 zł,455100138469,816,2023-01-31
Gryning,L,Kokos,false,30.00 zł,351713197934,690,2023-03-09
Veke,M,Wanilia,false,40.00 zł,143012353893,819,2022-10-14
Takfönster,S,Wanilia,true,15.00 zł,462167222255,404,2022-08-17
Ljus,M,Grejpfrut,true,20.00 zł,921886053814,550,2023-02-08
Ljus,M,Pomarańcza-goździki,true,20.00 zł,612342088675,210,2022-11-23
Takfönster,L,Lawenda,true,35.00 zł,043652713360,57,2022-08-30
Gryning,M,Sosna,false,20.00 zł,783700339339,577,2022-09-03
Stjärna,M,Mięta,false,50.00 zł,716015657780,65,2023-03-11
Lykta,S,Mięta,false,20.00 zł,898083635270,489,2023-08-19
Takfönster,M,Sosna,true,25.00 zł,672865758744,40,2023-08-14
Lägereld,L,Hiacynt,false,50.00 zł,352106597462,102,2022-07-23
Gryning,M,Grejpfrut,true,20.00 zł,646026386745,754,2023-05-13
Glans,S,Świerk,true,25.00 zł,134189999486,215,2023-08-20
Gryning,L,Grejpfrut,false,30.00 zł,076822043454,989,2023-03-27
